Date,Open,High,Low,Close,Adj Close,Volume
2023-06-04,25437.318359,25497.736328,25162.601563,25271.925781,25271.925781,7827116679
2023-06-05,25271.917969,25598.128906,25172.140625,25352.396484,25352.396484,8751095685
2023-06-06,25356.175781,25372.666016,23747.287109,24049.574219,24049.574219,20084766988
2023-06-07,24023.445313,25540.826172,23819.091797,25459.982422,25459.982422,20497575478
2023-06-08,25457.052734,25532.357422,24439.041016,24606.056641,24606.056641,18240241845
2023-06-09,24607.601563,24855.738281,24505.197266,24585.150391,24585.150391,11041176912
2023-06-10,24583.025391,24859.050781,24438.089844,24635.195313,24635.195313,10247976986
2023-06-11,24636.486328,24682.335938,23714.921875,24039.843750,24039.843750,18480436760
2023-06-12,24042.439453,24361.992188,23870.359375,24130.296875,24130.296875,9983784698
2023-06-13,24124.824219,24209.353516,23915.753906,24067.697266,24067.697266,10850686659
2023-06-14,24068.105469,24433.074219,23841.755859,24021.917969,24021.917969,13108412593
2023-06-15,24023.335938,24126.425781,22988.296875,23170.253906,23170.253906,13156001847
2023-06-16,23167.484375,23514.351563,22886.794922,23366.492188,23366.492188,14468971047
2023-06-17,23365.476563,24186.175781,23090.869141,24029.074219,24029.074219,14899505285
2023-06-18,24030.185547,24432.425781,23889.458984,24196.294922,24196.294922,10122095681
2023-06-19,24196.093750,24387.423828,24060.574219,24065.609375,24065.609375,8740979157
2023-06-20,24064.906250,24711.832031,24062.453125,24580.533203,24580.533203,11742349094
2023-06-21,24571.958984,25997.822266,24462.429688,25940.925781,25940.925781,20340532225
2023-06-22,25926.111328,28035.025391,25896.998047,27317.933594,27317.933594,30337882736
2023-06-23,27289.402344,27740.044922,27076.027344,27303.242188,27303.242188,18851729873
2023-06-24,27288.730469,28834.900391,27282.316406,28118.583984,28118.583984,22091067976
2023-06-25,28130.740234,28218.140625,27747.289063,27984.132813,27984.132813,11128012797
2023-06-26,27980.884766,28435.357422,27801.533203,27947.595703,27947.595703,11647907874
2023-06-27,27947.835938,28073.417969,27464.802734,27746.609375,27746.609375,15117704681
2023-06-28,27749.533203,28300.296875,27721.142578,28006.048828,28006.048828,14992964810
